Fight_Id,Fighter_Id_1,Fighter_Id_2,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2,Sig. Str._%_1,Sig. Str._%_2
fae99a4089f8abb0,07f72a2a7591b409,2e19380f34871c6a,Jon Jones,Dominick Reyes,0,0,104,116,2,0,0,0,Light Heavyweight,U-DEC,5,5:00,b26d3e3746fb4024,W,L,5 Rnd (5-5-5-5-5),Dan Miragliotta,Marcos Rosales47 - 48.Chris Lee47 - 48.Joe Soliz46 - 49.,0.62,0.44,0,0,0,0,101,0,0.42,0.24,0.77,0.87,0.81,0.77,0.63,0.43,0.6,1.0,0,0,0.63,0.45,0.63,0.45
05cceae674c81b86,132deb59abae64b1,e872e9a9a902c045,Valentina Shevchenko,Katlyn Cerminara,0,0,40,17,3,0,0,0,Women's Flyweight,KO/TKO Punches,3,1:03,b26d3e3746fb4024,W,L,5 Rnd (5-5-5-5-5),Jacob Montalvo,Punches to Head From Crucifix,0.61,0.3,0,0,0,0,212,0,0.54,0.0,0.75,0.56,0.85,0.63,0.48,0.3,0,0,1.0,0,0.7,0.4,0.62,0.3
57961c6adebfb13d,e13abac8089a801a,83b00f7597e5ac83,Juan Adams,Justin Tafa,0,1,7,10,0,0,0,0,Heavyweight,KO/TKO Punch,1,1:59,b26d3e3746fb4024,L,W,3 Rnd (5-5-5),Jeff Rexroad,Punch to Head In Clinch,0.63,0.66,0,0,0,0,0,2,0.75,0.56,0.5,0.0,0.67,1.0,0.64,0.73,0,1.0,0,0.33,0.64,0.67,0.64,0.67
be822403f364fff3,82a5152216251682,cbd3e590a85b18c5,Mirsad Bektic,Dan Ige,0,0,17,43,3,1,1,0,Featherweight,S-DEC,3,5:00,b26d3e3746fb4024,L,W,3 Rnd (5-5-5),Kerry Hatley,Marcos Rosales28 - 29.Patrick Patlan29 - 28.Joshua Ferraro28 - 29.,0.28,0.48,1,0,0,0,392,53,0.25,0.39,0.75,0.88,0,1.0,0.26,0.41,0.5,0.75,0,0.75,0.39,0.55,0.28,0.49
cefb47bcc04f540e,d3df1add9d9a7efb,e9a3aeb207578eea,Derrick Lewis,Ilir Latifi,0,0,20,5,0,3,0,0,Heavyweight,U-DEC,3,5:00,b26d3e3746fb4024,W,L,3 Rnd (5-5-5),Dan Miragliotta,Danny De Alejandro28 - 29.Robert Alexander28 - 29.Chris Lee28 - 29.,0.4,0.41,0,0,0,0,41,529,0.31,0.25,0.8,1.0,0.0,0.67,0.32,0.38,0.67,0.5,0,0,0.47,0.81,0.4,0.42
11f7bac5037a184c,b27a1fcb56a3035a,8f6a18831a120817,Trevin Giles,James Krause,0,0,71,44,0,1,1,4,Middleweight,S-DEC,3,5:00,b26d3e3746fb4024,W,L,3 Rnd (5-5-5),Jacob Montalvo,Joe Soliz28 - 29.Patrick Patlan29 - 28.Joshua Ferraro28 - 29.,0.47,0.55,1,4,1,0,219,233,0.45,0.37,0.86,0.67,1.0,0.95,0.39,0.53,0.44,0.83,0.7,0,0.53,0.6,0.48,0.55
cb56e868deaddac4,729d4bd5a6cd0a97,05fa626cb33d15b8,Lauren Murphy,Andrea Lee,0,0,80,104,2,0,0,1,Women's Flyweight,S-DEC,3,5:00,b26d3e3746fb4024,W,L,3 Rnd (5-5-5),Jeff Rexroad,Patrick Patlan28 - 29.Chris Lee29 - 28.Danny De Alejandro27 - 30.,0.4,0.38,0,1,1,0,151,37,0.39,0.26,0.6,0.67,1.0,0.86,0.39,0.38,0.71,0.8,0,1.0,0.47,0.39,0.41,0.39
ed499508be1e5532,2558ae2e5671e318,cdb96af67d096b1e,Alex Morono,Khaos Williams,0,1,1,10,0,0,0,0,Welterweight,KO/TKO Punch,1,0:27,b26d3e3746fb4024,L,W,3 Rnd (5-5-5),Kerry Hatley,Punch to Head At Distance,0.25,0.58,0,0,0,0,0,5,0.33,0.5,0.0,1.0,0,0.0,0.25,0.4,0,1.0,0,0.67,0.25,0.59,0.25,0.59
d3f44fedc561d2d5,bc711b6dd95c1af6,46e0d677f91bacc0,Miles Johns,Mario Bautista,0,1,13,18,0,0,0,0,Bantamweight,KO/TKO Flying Knee,2,1:41,b26d3e3746fb4024,L,W,3 Rnd (5-5-5),Dan Miragliotta,Flying Knee Head,0.29,0.26,0,0,0,0,0,4,0.26,0.28,0,0,1.0,0.0,0.3,0.16,0,0,0,0.9,0.3,0.27,0.3,0.27
5ab2a4fec735e0b2,4bf6b225ff6099c4,78f485f851891d68,Domingo Pilarte,Journey Newson,0,1,1,6,0,0,0,0,Bantamweight,Overturned Punch,1,0:38,b26d3e3746fb4024,NC,NC,3 Rnd (5-5-5),Jacob Montalvo,Failed Drug Test by Newson,0.25,0.6,0,0,0,0,0,5,0.0,0.6,1.0,0,0,0,0.0,0.2,0.5,0,0,1.0,0.25,0.54,0.25,0.6
